Unnamed: 0,企業名,売上高(百万円),業種,従業員数,備考,営業日,無料プラン登録日,有料プラン登録日,解約日,画像,似ていると感じる企業番号,真逆だと感じる企業番号
0,株式会社アクティブ,500,IT,120,新規事業に積極的,2024/1/5,2024/1/10,2024/2/1,,active.png,"19,20,43,58,93,95,105","6,24,30,76,78,108"
1,株式会社ブルースカイ,300,製造,80,地方展開中,2024/1/6,2024/1/12,,,bluesky.png,"22,91,68","9,15,24"
2,株式会社クリエイト,1000,広告,200,大手取引先あり,2024/1/7,2024/1/15,2024/3/1,2024/5/1,create.png,"8,28,66","25,48,63"
3,株式会社デジタルリンク,800,IT,150,海外進出予定,2024/1/8,2024/1/8,,,digitallink.png,"30,53,36","29,75,98,71"
4,株式会社エコライフ,200,環境,50,エコ製品開発,2024/1/9,2024/1/20,,,ecolife.png,"12,48,109,27","2,34,18,66"
5,株式会社ファースト,600,小売,90,新店舗オープン,2024/1/10,2024/1/22,2024/2/15,,first.png,"22,45,60,95","18,103,102,9"
6,株式会社グリーンフィールド,400,農業,60,有機農法推進,2024/1/11,2024/1/11,,,greenfield.png,"27,21,63","21,37,90"
7,株式会社ヒューマン,700,人材,110,研修事業強化,2024/1/12,2024/1/25,2024/3/10,2024/6/10,human.png,"22,45,84","2,92,87"
8,株式会社インサイト,350,コンサル,40,新規顧客獲得,2024/1/13,2024/1/28,,,insight.png,"42,19,109","25,27,103"
9,株式会社ジャパンテック,1200,IT,250,上場企業,2024/1/14,2024/1/14,,,japantech.png,"106,17,28","17,25,86,109,10"
10,株式会社キューブ,250,建設,70,地域密着型,2024/1/15,2024/2/1,2024/3/20,,cube.png,"22,31,106","9,11,16,80,103"
11,株式会社ライズ,900,運輸,180,物流拠点拡大,2024/1/16,2024/2/3,,,rise.png,"99,24,30,21","13,58,98"
12,株式会社スマイル,150,サービス,30,顧客満足度高,2024/1/17,2024/1/17,,,smile.png,"4,52,75,90,109","13,2,66"
13,株式会社トラスト,500,金融,100,新商品開発,2024/1/18,2024/2/5,2024/4/1,2024/6/25,trust.png,"7,20,106","1,46,97"
14,株式会社ネクスト,300,教育,60,オンライン講座充実,2024/1/19,2024/2/7,,,next.png,"1,23,77,100","2,20,66,89"
15,株式会社オーシャン,800,観光,140,インバウンド強化,2024/1/20,2024/2/10,2024/3/25,,ocean.png,"18,95,87","32,34,85"
16,株式会社パワー,1000,エネルギー,220,再生可能エネ推進,2024/1/21,2024/1/21,,,power.png,"57,64,87,103","13,7,98"
17,株式会社クリーン,200,清掃,35,法人契約多数,2024/1/22,2024/2/12,,,clean.png,"50,107,4","2,66,89"
18,株式会社サンライズ,600,不動産,90,新規物件開発,2024/1/23,2024/2/15,2024/4/10,,sunrise.png,"15,26,72,87","25,47,88"
