,企業名,資本金(百万円),業種,従業員数,備考,営業日,無料プラン登録日,有料プラン登録日,解約日,画像
0,株式会社アクティブ1,500,IT,120,新規事業に積極的,2024/1/5,2024/1/10,2024/2/1,,active.png
1,株式会社アクティブ2,500,IT,120,新規事業に積極的,2024/1/5,2024/1/10,2024/2/1,,active.png
2,株式会社アクティブ3,500,IT,120,新規事業に積極的,2024/1/5,2024/1/10,2024/2/1,,active.png
3,株式会社アクティブ4,500,IT,120,新規事業に積極的,2024/1/5,2024/1/10,2024/2/1,,active.png
4,株式会社アクティブ5,500,IT,120,新規事業に積極的,2024/1/5,2024/1/10,2024/2/1,,active.png
5,株式会社ブルースカイ,300,製造,80,地方展開中,2024/1/6,2024/1/12,,,bluesky.png
6,株式会社クリエイト,1000,広告,200,大手取引先あり,2024/1/7,2024/1/15,2024/3/1,2024/5/1,create.png
7,株式会社デジタルリンク,800,IT,150,海外進出予定,2024/1/8,2024/1/8,,,digitallink.png
8,株式会社エコライフ,200,環境,50,エコ製品開発,2024/1/9,2024/1/20,,,ecolife.png
9,株式会社ファースト,600,小売,90,新店舗オープン,2024/1/10,2024/1/22,2024/2/15,,first.png
10,株式会社グリーンフィールド,400,農業,60,有機農法推進,2024/1/11,2024/1/11,,,greenfield.png
11,株式会社ヒューマン,700,人材,110,研修事業強化,2024/1/12,2024/1/25,2024/3/10,2024/6/10,human.png
12,株式会社インサイト,350,コンサル,40,新規顧客獲得,2024/1/13,2024/1/28,,,insight.png
13,株式会社ジャパンテック,1200,IT,250,上場企業,2024/1/14,2024/1/14,,,japantech.png
14,株式会社キューブ,250,建設,70,地域密着型,2024/1/15,2024/2/1,2024/3/20,,cube.png
15,株式会社ライズ,900,運輸,180,物流拠点拡大,2024/1/16,2024/2/3,,,rise.png
16,株式会社スマイル,150,サービス,30,顧客満足度高,2024/1/17,2024/1/17,,,smile.png
17,株式会社トラスト,500,金融,100,新商品開発,2024/1/18,2024/2/5,2024/4/1,2024/6/25,trust.png
18,株式会社ネクスト,300,教育,60,オンライン講座充実,2024/1/19,2024/2/7,,,next.png
19,株式会社オーシャン,800,観光,140,インバウンド強化,2024/1/20,2024/2/10,2024/3/25,,ocean.png
20,株式会社パワー,1000,エネルギー,220,再生可能エネ推進,2024/1/21,2024/1/21,,,power.png
21,株式会社クリーン,200,清掃,35,法人契約多数,2024/1/22,2024/2/12,,,clean.png
22,株式会社サンライズ,600,不動産,90,新規物件開発,2024/1/23,2024/2/15,2024/4/10,,sunrise.png
23,株式会社テックノート,400,IT,80,AI開発中,2024/1/24,2024/1/24,,,technote.png
24,株式会社フューチャー,700,IT,130,IoT事業展開,2024/1/25,2024/2/18,2024/4/20,2024/7/10,future.png
25,株式会社ブリッジ,350,物流,60,海外提携先あり,2024/1/26,2024/2/20,,,bridge.png
26,株式会社エース,500,製造,100,新工場建設中,2024/1/27,2024/2/22,2024/5/1,,ace.png
27,株式会社ドリーム,250,教育,50,留学支援,2024/1/28,2024/2/25,,,dream.png
28,株式会社エンジン,800,自動車,170,EV開発,2024/1/29,2024/1/29,,,engine.png
29,株式会社シード,150,農業,40,新規作物導入,2024/1/30,2024/2/28,,,seed.png
30,株式会社リンクス,600,IT,120,クラウド事業強化,2024/1/31,2024/3/1,2024/5/10,,links.png
31,株式会社アース,300,環境,55,リサイクル事業,2024/2/1,2024/2/1,,,earth.png
32,株式会社ビジョン,1000,広告,210,CM制作実績多数,2024/2/2,2024/3/5,,,vision.png
